,Entity,EntityName,EntityType,EntityLabel,EntityLabel (Short),EntityLabel (Extended),use_in_alignment
0,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C7057,C7057,class,"Disease,DisorderFinding","disease, disorder finding",conceptual disease disorder entity find finding,False
1,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C12219,C12219,class,"AnatomicStructure,System,Substance","anatomic structure, system, substance",anatomic classification structure substance system,False
2,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C12913,C12913,class,AbnormalCell,abnormal cell,abnormal cell,False
3,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C3910,C3910,class,MolecularAbnormality,molecular abnormality,abnormality alteration cell chromosomal cytogenetic dysfunction gene genetic molecular protein,False
4,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C20189,C20189,class,PropertyAttribute,property attribute,attribute conceptual entity property,False
5,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C1908,C1908,class,"Drug,Food,ChemicalBiomedicalMaterial","drug, food, chemical biomedical material",biomedical chemical classification drug food material,False
6,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C26548,C26548,class,GeneProduct,gene product,classification encode entity gene genome product,False
7,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C12218,C12218,class,ChemotherapyRegimenAgentCombination,chemotherapy regimen agent combination,agent chemotherapy combination preventive procedure regimen therapeutic,False
8,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C17828,C17828,class,BiologicalProcess,biological process,biologic biological function process,False
9,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C16612,C16612,class,Gene,gene,gene genome,False
10,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C20633,C20633,class,BiochemicalPathway,biochemical pathway,biochemical concept functional metabolic molecular network pathway,False
11,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C43431,C43431,class,Activity,activity,activity general,False
12,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C2950,C2950,class,CytogeneticAbnormality,cytogenetic abnormality,aberrant aberration abnormality alteration analysis anomaly cell chromosomal chromosome cytogenetic dysfunction molecular type,False
13,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C13202,C13202,class,Chromosome,chromosome,cell chromosomal chromosome component,False
14,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C2991,C2991,class,DiseaseDisorder,disease disorder,condition diagnosis disease disorder non-neoplastic syndrome term,False
15,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97927,C97927,class,GeneVariant,gene variant,alternative cell dysfunction gene genetic molecular mutant mutation seq variant variation,False
16,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97928,C97928,class,GeneProductSequenceVariation,gene product sequence variation,aa acid amino cell change dysfunction gene molecular mutation product sequence variation,False
