,Entity,EntityName,EntityType,EntityLabel,EntityLabel (Short),EntityLabel (Extended),use_in_alignment
0,obo.DOID_0001816,DOID_0001816,class,Angiosarcoma,angiosarcoma,angiosarcoma hemangiosarcoma,True
1,obo.DOID_1115,DOID_1115,class,Sarcoma,sarcoma,connective neoplasm sarcoma soft tissue,True
2,obo.DOID_0002116,DOID_0002116,class,Pterygium,pterygium,eye pterygium surfer,True
3,obo.DOID_10124,DOID_10124,class,CornealDisease,corneal disease,corneal disease,True
4,obo.DOID_0014667,DOID_0014667,class,DiseaseOfMetabolism,disease of metabolism,disease metabolism,True
5,obo.DOID_4,DOID_4,class,Disease,disease,disease,True
6,obo.DOID_0050004,DOID_0050004,class,SeminalVesicleAcuteGonorrhea,seminal vesicle acute gonorrhea,acute gonorrhea seminal vesicle,True
7,obo.DOID_10400,DOID_10400,class,GonococcalSeminalVesiculitis,gonococcal seminal vesiculitis,gonococcal seminal vesiculitis,True
8,obo.DOID_0050012,DOID_0050012,class,Chikungunya,chikungunya,chikungunya fever,True
9,obo.DOID_934,DOID_934,class,ViralInfectiousDisease,viral infectious disease,disease infectious viral,True
10,obo.DOID_0050013,DOID_0050013,class,CarbohydrateMetabolismDisease,carbohydrate metabolism disease,carbohydrate disease metabolism,True
11,obo.DOID_0060158,DOID_0060158,class,AcquiredMetabolicDisease,acquired metabolic disease,acquire disease metabolic,True
12,obo.DOID_0050025,DOID_0050025,class,HumanGranulocyticAnaplasmosis,human granulocytic anaplasmosis,anaplasmosis ehrlichiosis granulocytic human,True
13,obo.DOID_10242,DOID_10242,class,Ehrlichiosis,ehrlichiosis,ehrlichiosis human,True
14,obo.DOID_0050026,DOID_0050026,class,HumanMonocyticEhrlichiosis,human monocytic ehrlichiosis,ehrlichiosis human monocytic,True
15,obo.DOID_0050032,DOID_0050032,class,MineralMetabolismDisease,mineral metabolism disease,disease metabolism mineral,True
16,obo.DOID_0050035,DOID_0050035,class,AfricanTick-biteFever,african tick-bite fever,africae african fever rickettsia south spot tick-bite,True
17,obo.DOID_11104,DOID_11104,class,SpottedFever,spotted fever,fever spot,True
18,obo.DOID_0050041,DOID_0050041,class,AstrakhanSpottedFever,astrakhan spotted fever,astrakhan fever spot,True
19,obo.DOID_0050042,DOID_0050042,class,IndianTickTyphus,indian tick typhus,indian tick typhus,True
20,obo.DOID_0050043,DOID_0050043,class,IsraeliTickTyphus,israeli tick typhus,israeli tick typhus,True
21,obo.DOID_0050046,DOID_0050046,class,FarEasternSpottedFever,far eastern spotted fever,eastern far fever heilongjiangensis rickettsia spot,True
22,obo.DOID_0050047,DOID_0050047,class,FlindersIslandSpottedFever,flinders island spotted fever,fever flinders island spot thai tick typhus,True
23,obo.DOID_0050050,DOID_0050050,class,JapaneseSpottedFever,japanese spotted fever,fever japanese japonica oriental rickettsia spot,True
24,obo.DOID_0050051,DOID_0050051,class,RickettsiaParkeriSpottedFever,rickettsia parkeri spotted fever,fever infection maculatum parkeri rickettsia spot,True
25,obo.DOID_0050052,DOID_0050052,class,RockyMountainSpottedFever,rocky mountain spotted fever,fever mountain rocky spot,True
26,obo.DOID_0050059,DOID_0050059,class,OropharyngealAnthrax,oropharyngeal anthrax,anthrax oropharyngeal,True
27,obo.DOID_13386,DOID_13386,class,GastrointestinalAnthrax,gastrointestinal anthrax,anthrax gastrointestinal,True
28,obo.DOID_0050061,DOID_0050061,class,Erysipeloid,erysipeloid,erysipeloid,True
29,obo.DOID_0050338,DOID_0050338,class,PrimaryBacterialInfectiousDisease,primary bacterial infectious disease,bacterial disease infectious primary,True
30,obo.DOID_0050072,DOID_0050072,class,Adiaspiromycosis,adiaspiromycosis,adiaspiromycosis,True
31,obo.DOID_0050292,DOID_0050292,class,PrimarySystemicMycosis,primary systemic mycosis,mycosis primary systemic,True
32,obo.DOID_0050073,DOID_0050073,class,InvasiveAspergillosis,invasive aspergillosis,aspergillosis invasive,True
33,obo.DOID_13564,DOID_13564,class,Aspergillosis,aspergillosis,aspergillosis,True
34,obo.DOID_0050083,DOID_0050083,class,KeshanDisease,keshan disease,disease keshan,True
35,obo.DOID_5113,DOID_5113,class,NutritionalDeficiencyDisease,nutritional deficiency disease,deficiency disease nutritional,True
36,obo.DOID_0050096,DOID_0050096,class,TineaBarbae,tinea barbae,barbae beard dermatophytosis tinea,True
37,obo.DOID_8913,DOID_8913,class,Dermatophytosis,dermatophytosis,dermatophytosis,True
38,obo.DOID_0050097,DOID_0050097,class,EctothrixInfectiousDisease,ectothrix infectious disease,disease ectothrix infectious,True
39,obo.DOID_4337,DOID_4337,class,TineaCapitis,tinea capitis,beard capitis dermatophytosis due rubrum scalp tinea trichophyton,True
