,SrcEntity,TgtEntity,SrcLabel,TgtLabel,label
0,C8712,DOID_7676,germinoma neoplastic pineal process region,testicular thecoma,0
1,C3654,DOID_10964,middle ear cholesteatoma,cholesteatoma ear middle,1
2,C35264,DOID_2921,disease glomerulonephritis progressive rapidly rpgn syndrome,glomerulonephritis,0
3,C27888,DOID_7089,carcinoma cell chromophobe classic neoplastic process renal variant,carcinoma cell papillary tall variant,0
4,C3009,DOID_170,disease disorder endocrine endocrinopathy glandular syndrome system thyroid,cancer endocrine gland malignant neoplasm,0
5,C35397,DOID_10319,disease pneumoconiosis slate syndrome,dust mineral mixed pneumoconiosis,0
6,C7928,DOID_6084,cell childhood germ neoplasm neoplastic pediatric process tumor,cell germ ovarian pediatric tumor,0
7,C5451,DOID_3234,central cns lipoma neoplastic nervous process system,central cns lymphoma nervous primary system,0
8,C3112,DOID_12678,hypercalcemia,hypercalcemia,1
9,C5141,DOID_6581,apocrine carcinoma of the breast,apocrine breast carcinoma,1
10,C2955,DOID_0080199,large bowel cancer,carcinoma colorectal,1
11,C4527,DOID_262,hemangiopericytoma kidney neoplastic process renal,hemangiopericytoma kidney,1
12,C4642,DOID_3073,brain glioblastoma,brain glioblastoma multiforme,1
13,C3112,DOID_0060700,hypercalcemia laboratory result test,benign familial fhh hhc1 hypercalcemia hypocalciuric type,0
14,C98871,DOID_1391,carnitine deficiency disease palmitoyltransferase syndrome,acyltransferase cholesterol deficiency disease lecithin norum,0
15,C4508,DOID_6211,epithelial mixed neoplasm neoplastic ovarian process seromucinous tumor,epithelial mixed ovary tumor,1
16,C39992,DOID_12270,biphasic neoplastic ovarian process teratoma triphasic,coloboma congenital eye macula ocular,0
17,C27248,DOID_9598,cranial fasciitis neoplastic nodular process pseudosarcomatous,fasciitis,0
18,C9055,DOID_3999,carcinoma of bartholins gland,bartholin carcinoma gland,1
19,C2989,DOID_11198,dgs1,digeorge syndrome,1
20,C4540,DOID_0050931,adenoid carcinoma cystic gland lacrimal neoplastic process,adenoid carcinoma cystic gland parotid,0
21,C4265,DOID_3919,neoplastic pancreatoblastoma process,cystic neoplasm pancreatic serous,0
22,C5532,DOID_10132,benign neoplasm neoplastic phyllode process prostate tumor,disorder psychosexual,0
23,C4533,DOID_3540,malignant choroid plexus tumors,cancer choroid plexus,1
24,C4017,DOID_3819,adenocarcinoma breast carcinoma duct ductal neoplastic process,dermatitis toxicodendron,0
25,C40957,DOID_5675,cribriform neoplastic process seminoma testicular variant,carcinoma cribriform,0
26,C6043,DOID_4514,thyroid hemangiosarcoma,angiosarcoma thyroid,1
27,C50503,DOID_1682,congenital disease syndrome toxoplasmosis,congenital defect disease heart,0
28,C34529,DOID_0110052,disease enamel hypoplasia syndrome,1b ai1b aih2 amelogenesis autosomal dominant enamel hereditary hypoplasia hypoplastic ib imperfecta local localize type,0
29,C39992,DOID_5567,biphasic neoplastic ovarian process teratoma triphasic,cell germ ovarian teratoma,0
30,C2860,DOID_656,adrenal neoplasm neoplastic process rest tumor,adenoma adrenal,0
31,C5461,DOID_4439,cell central cns germ neoplasm neoplastic nervous process system tumor,cell central germ nervous system tumor,1
32,C5301,DOID_4586,familial meningiomas,familial meningioma,1
33,C6143,DOID_4919,adenocarcinoma kidney neoplastic pelvis process renal,cancer carcinoma pelvis renal,0
34,C6068,DOID_1350,accessory lymphoma neoplastic paranasal primary process sinus,neoplasm paranasal sinus,0
35,C3502,DOID_6204,adenoma of the thyroid gland,adenoma follicular,1
36,C84646,DOID_589,anemia congenital disease dyserythropoietic syndrome,anemia congenital hemolytic hereditary,0
37,C5250,DOID_3033,adenocarcinoma carcinoma cell cohesive gastric include neoplastic poorly process ring signet stomach,adenocarcinoma colon ring signet,0
38,C7566,DOID_6741,breast cancer carcinoma neoplastic process sporadic,bilateral breast cancer,0
39,C8540,DOID_471,angioma hemangioma neoplastic process subcutaneous tissue,hemangioma skin,0
40,C6346,DOID_4867,adenoid cancer carcinoma cervical cervix cystic neoplastic process uteri uterine uterus,cervical adenoid cystic carcinoma,1
41,C27248,DOID_7326,neoplastic process,cranial fasciitis pseudosarcomatous,1
42,C5250,DOID_8025,neoplastic process,adenocarcinoma cell gastric ring signet,1
43,C6529,DOID_0060117,benign neoplasm neoplastic pericytic perivascular process tumor,benign neoplasm peritoneal,0
44,C3423,DOID_399,tb,tuberculosis,1
45,C4640,DOID_1992,rectal malignant melanoma,malignant melanoma rectum,1
46,C3867,DOID_1963,cancer of the fallopian tube,carcinoma fallopian tube,1
